PERSON_ID,WAM,,ENG4701_ID,ENG4701_MARK,,ENG4701_WAM,ENG4701_DEPT,,ENG4702_ID,ENG4702_MARK,ENG4702_WAM,ENG4702_DEPT
30641993,78.3,,29984491,73,D,70.333,CL_CIV,,30080665,0,64.529,MA_CHE
29681812,78.27,,30564913,78,D,73.681,CL_CIV,,29273846,72,78.931,MA_CHE
30635802,78.267,,28794907,87,HD,72.508,CL_CIV,,30230527,66,66.909,MA_CHE
29744245,78.194,,28798767,87,HD,81.055,CL_CIV,,30233437,80,81.58,MA_CHE
29737710,78.182,,28806875,87,HD,74.583,CL_CIV,,30554187,73,75.02,MA_CHE
30619769,78.179,,30859999,87,HD,75.75,CL_CIV,,30516277,80,72.049,MA_CHE
30622670,78.174,,28759869,87,HD,66.656,CL_CIV,,29941547,75,74.771,MA_CHE
30581028,78.167,,29544408,72,D,66.979,CL_CIV,,30219477,80,73.609,MA_CHE
29715334,78.022,,29657431,75,D,72.519,CL_CIV,,30103029,82,74.48,MA_CHE
29658179,78.017,,29015804,76,D,62.019,CL_CIV,,29867797,74,68.158,MA_CHE
29708214,77.962,,29715334,81,HD,78.022,CL_CIV,,29276497,76,81.138,MA_CHE
28801725,77.923,,29340306,81,HD,67.167,CL_CIV,,29612969,52,59.922,MA_CHE
28760387,77.92,,29687985,30,N,80.806,CL_CIV,,28325842,76,68.211,MA_CHE
28789989,77.917,,29690730,74,D,65.345,CL_CIV,,27461688,0,54.38,MA_CHE
28802926,77.828,,29707250,72,D,67.745,CL_CIV,,29444004,0,60.02,MA_CHE
29001811,77.774,,30642736,61,C,69.031,CL_CIV,,29894220,0,60.5,MA_CHE
28764048,77.763,,30647479,73,D,71,CL_CIV,,30133556,77,72.897,MA_MEC
29720095,77.667,,29494699,80,HD,73.7,CL_CIV,,29047897,73,64.162,MA_MEC
26949911,77.657,,28765362,77,D,62.343,CL_CIV,,28372514,74,58.465,MA_MEC
